CountdownTime,AbsoluteTime,RelativeTime,TimeStep,LeftEyePosX,LeftEyePosY,LeftEyePosZ,RightEyePosX,RightEyePosY,RightEyePosZ,LeftEyeHitObject,RightEyeHitObject,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,HeadEulerX,HeadEulerY,HeadEulerZ,LHandPosX,LHandPosY,LHandPosZ,LHandRotX,LHandRotY,LHandRotZ,LHandRotW,LHandEulerX,LHandEulerY,LHandEulerZ,RHandPosX,RHandPosY,RHandPosZ,RHandRotX,RHandRotY,RHandRotZ,RHandRotW,RHandEulerX,RHandEulerY,RHandEulerZ,LeftJoyX,LeftJoyY,RightJoyX,RightJoyY,L_One,L_Two,L_IndexTrigger,L_HandTrigger,L_Start,L_Thumbstick,L_ThumbUp,L_ThumbClick,R_One,R_Two,R_IndexTrigger,R_HandTrigger,R_Start,R_Thumbstick,R_ThumbUp,R_ThumbClick
09:59.5,44:47.9,20.9835,0.014025,0,0,0,0,0,0,None,None,-2.089043,1.278322,1.131152,-0.1723645,0.9763292,0.1162412,-0.05966374,348.0879,189.2081,339.0132,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.5,44:47.9,20.9978,0.014303,0,0,0,0,0,0,None,None,-2.087725,1.278117,1.131112,-0.1712247,0.9772118,0.1129096,-0.05468679,348.3492,188.5463,339.2498,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.5,44:47.9,21.0122,0.014433,0,0,0,0,0,0,None,None,-2.086328,1.277933,1.13092,-0.1695604,0.9780821,0.1100973,-0.04983181,348.5525,187.9062,339.5362,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.5,44:47.9,21.0257,0.013418,0,0,0,0,0,0,None,None,-2.084811,1.277988,1.130692,-0.168054,0.9787879,0.1082305,-0.04492447,348.6519,187.2847,339.7903,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.5,44:48.0,21.0394,0.013781,0,0,0,0,0,0,None,None,-2.083252,1.278317,1.130482,-0.1665268,0.9794889,0.1064309,-0.03927851,348.7311,186.5807,340.0524,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.5,44:48.0,21.0525,0.013096,0,0,0,0,0,0,None,None,-2.08157,1.278449,1.130168,-0.1651233,0.9800875,0.1050917,-0.03344663,348.7581,185.8675,340.2955,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.5,44:48.0,21.067,0.014511,0,0,0,0,0,0,None,None,-2.079922,1.278584,1.129976,-0.1632843,0.980789,0.1030354,-0.02783636,348.8708,185.1603,340.5928,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.4,44:48.0,21.081,0.013994,0,0,0,0,0,0,None,None,-2.078264,1.278655,1.12988,-0.1618173,0.981433,0.100581,-0.02209082,349.031,184.4348,340.8488,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.4,44:48.0,21.0967,0.015699,0,0,0,0,0,0,None,None,-2.076571,1.278617,1.129741,-0.1598325,0.9820898,0.09845253,-0.01613264,349.151,183.6872,341.1624,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.4,44:48.0,21.1096,0.012875,0,0,0,0,0,0,None,None,-2.074078,1.279161,1.129566,-0.1597268,0.9823131,0.09725814,-0.00944796,349.1606,182.8966,341.2539,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.4,44:48.0,21.1229,0.013325,0,0,0,0,0,0,None,None,-2.072339,1.27899,1.129544,-0.1571147,0.9829317,0.09569994,-0.001351421,349.1809,181.9095,341.6562,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.4,44:48.1,21.1366,0.013666,0,0,0,0,0,0,None,None,-2.070203,1.279056,1.129639,-0.1552242,0.9834731,0.09298091,0.006368807,349.3467,180.9526,341.9729,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.4,44:48.1,21.1517,0.015076,0,0,0,0,0,0,None,None,-2.068129,1.278934,1.129542,-0.1525478,0.9840933,0.08996536,0.01399297,349.5523,179.9946,342.3775,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.4,44:48.1,21.1652,0.01354,0,0,0,0,0,0,None,None,-2.066031,1.278765,1.129607,-0.1496823,0.9847035,0.08652155,0.02163744,349.8123,179.0271,342.8003,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.3,44:48.1,21.1777,0.012436,0,0,0,0,0,0,None,None,-2.063926,1.278398,1.129607,-0.1463405,0.9853694,0.08249847,0.02873314,350.1544,178.1109,343.2679,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.3,44:48.1,21.1915,0.013878,0,0,0,0,0,0,None,None,-2.06199,1.278071,1.129645,-0.1425702,0.9860578,0.07805938,0.03564613,350.5547,177.2086,343.7763,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.3,44:48.1,21.2059,0.01432,0,0,0,0,0,0,None,None,-2.060044,1.277742,1.129549,-0.1389792,0.986639,0.07397267,0.04190801,350.9314,176.3925,344.2502,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.3,44:48.1,21.2202,0.014311,0,0,0,0,0,0,None,None,-2.058292,1.277644,1.129331,-0.1356006,0.9869467,0.0725977,0.04773122,351.011,175.6727,344.6941,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.3,44:48.2,21.2345,0.014299,0,0,0,0,0,0,None,None,-2.056305,1.277996,1.129225,-0.1331611,0.9870552,0.07184488,0.05318298,351.0256,175.0136,345.0251,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.3,44:48.2,21.2473,0.01288,0,0,0,0,0,0,None,None,-2.054388,1.278336,1.129199,-0.1305845,0.9871535,0.07102372,0.05857767,351.053,174.3589,345.3706,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:59.3,44:48.2,21.2613,0.013994,0,0,0,0,0,0,None,None,-2.052396,1.278564,1.129048,-0.1271309,0.9872771,0.07105117,0.06382354,350.9949,173.7248,345.8195,-2.009,0.119,1.084,0,1,0,0,0,180,0,-2.009,0.119,1.084,0,1,0,0,0,180,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
